symbol,exchange,quoteType,rank,fundop_annual_report_expense_ratio,fundop_annual_holdings_turnover,fundop_total_net_assets,market,etf_type,info_market,info_region,info_currency,info_netExpenseRatio,info_totalAssets,info_netAssets,info_fundInceptionDate,info_fundFamily,info_legalType,info_category,info_averageDailyVolume3Month,info_averageVolume,info_threeYearAverageReturn,info_fiveYearAverageReturn,info_ytdReturn,info_fiftyTwoWeekChangePercent
JQUA,PCX,etf,20003.0,0.0011999999,0.19,114748.92,US,index,us_market,US,USD,0.12,7591609856.0,7591609900.0,1510099200.0,JPMorgan,Exchange Traded Fund,Large Blend,609100.0,609100.0,0.1702321,0.13585359,11.74416,5.8178186
MFMO,NGM,etf,20002.0,0.005,0.0,286817.94,US,index,us_market,US,USD,0.5,1178845.0,1178845.0,1765152000.0,Motley Fool,Exchange Traded Fund,Large Growth,10878.0,10878.0,,,0.0309627,1.1371613
JVAL,PCX,etf,20002.0,0.0011999999,0.26,53213.37,US,index,us_market,US,USD,0.12,581106432.0,581106430.0,1510099200.0,JPMorgan,Exchange Traded Fund,Large Value,77671.0,77671.0,0.1486595,0.1301416,16.11081,13.470114
QUAL,BTS,etf,20002.0,0.0015,0.21,342245.78,US,index,us_market,US,USD,0.15,48016154624.0,48016155000.0,1373932800.0,iShares,Exchange Traded Fund,Large Blend,2149180.0,2149180.0,0.1864122,0.1307696,12.65163,9.226513
INTF,PCX,etf,20002.0,0.0016,0.21,40770.06,US,index,us_market,US,USD,0.16,2895909632.0,2895909630.0,1430179200.0,iShares,Exchange Traded Fund,Foreign Large Blend,202501.0,202501.0,0.1866981,0.1166075,35.45042,31.952667
VMO.TO,TOR,etf,20002.0,0.0,1.0765,29479.15,Canada,equity,ca_market,US,CAD,,292462624.0,292462624.0,1465862400.0,Vanguard Investments Canada Inc,Exchange Traded Fund,,8019.0,8019.0,0.2467424,0.1409146,23.10657,22.0963
QVMM,PCX,etf,20002.0,0.0015,0.34,9998.57,US,index,us_market,US,USD,0.15,375394368.0,375394368.0,1625011200.0,Invesco,Exchange Traded Fund,Mid-Cap Blend,2201.0,2201.0,0.1041727,,8.69906,8.766926
FVAL,PCX,etf,20002.0,0.0015,0.42,335703.66,US,index,us_market,US,USD,0.15,1109635072.0,1109635070.0,1473638400.0,Fidelity Investments,Exchange Traded Fund,Large Value,46298.0,46298.0,0.1779499,0.1396816,19.56463,15.939522
FDMO,PCX,etf,20002.0,0.0015,1.21,339845.06,US,index,us_market,US,USD,0.15,608461184.0,608461180.0,1473638400.0,Fidelity Investments,Exchange Traded Fund,Large Growth,37111.0,37111.0,0.2540578,0.1388849,21.35001,16.279543
FQAL,PCX,etf,20002.0,0.0015,0.33,348003.66,US,index,us_market,US,USD,0.15,1149154304.0,1149154300.0,1473638400.0,Fidelity Investments,Exchange Traded Fund,Large Blend,32966.0,32966.0,0.1801146,0.133646,16.97132,11.812186
MFVL,NGM,etf,20001.0,0.005,0.0,58842.2,US,index,us_market,US,USD,0.5,2434593.0,2434593.0,1765152000.0,Motley Fool,Exchange Traded Fund,Large Value,11855.0,11855.0,,,0.0028369,1.6778231
AAVM,NGM,etf,20001.0,0.0041,0.32,21104.25,US,equity,us_market,US,USD,0.41,19497300.0,19497300.0,1493683200.0,Alpha Architect,Exchange Traded Fund,Equity Hedged,2068.0,2068.0,0.1363367,0.052933503,18.41391,22.659529
HAPI,PCX,etf,20001.0,0.0034999999,0.27,421489.38,US,index,us_market,US,USD,0.35,440748032.0,440748032.0,1665532800.0,Harbor,Exchange Traded Fund,Large Blend,4033.0,4033.0,0.21384591,,16.27442,11.188602
MFUS,PCX,etf,20001.0,0.0029,0.4,104079.39,US,index,us_market,US,USD,0.29,210429216.0,210429216.0,1504137600.0,PIMCO,Exchange Traded Fund,Large Value,10236.0,10236.0,0.16613689,0.13502531,15.90504,13.970936
MAKX,PCX,etf,20001.0,0.0058,0.4,11219.48,US,index,us_market,US,USD,0.58,1249761.0,1249761.0,1632873600.0,ProShares,Exchange Traded Fund,Technology,320.0,320.0,0.1454424,,21.50625,23.990881
FDLO,PCX,etf,20001.0,0.0015,0.19,357641.6,US,index,us_market,US,USD,0.15,1476281984.0,1476281980.0,1473638400.0,Fidelity Investments,Exchange Traded Fund,Large Blend,89593.0,89593.0,0.1455289,0.11397041,11.97839,8.918322
IWFL,PCX,etf,20001.0,0.0095,0.0,0.0,US,equity,us_market,US,USD,0.95,5718010.0,5718010.0,1612483200.0,UBS,Exchange Traded Fund,Trading--Leveraged Equity,223.0,223.0,0.39305532,,18.34242,5.5113673
VSMV,NGM,etf,20001.0,0.0034999999,0.71,224755.84,US,index,us_market,US,USD,0.35,160213456.0,160213456.0,1498003200.0,Victory Capital Management Inc.,Exchange Traded Fund,Large Value,14966.0,14966.0,0.1565623,0.1272163,16.70956,16.464376
VVL.TO,TOR,etf,20001.0,0.0,0.48790002,19333.11,Canada,equity,ca_market,US,CAD,,579182720.0,579182720.0,1465862400.0,Vanguard Investments Canada Inc,Exchange Traded Fund,,12539.0,12539.0,0.1698167,0.1673982,21.16019,17.499315
SIZE,PCX,etf,20001.0,0.0015,0.23,45490.0,US,index,us_market,US,USD,0.15,387932672.0,387932672.0,1366070400.0,iShares,Exchange Traded Fund,Mid-Cap Blend,6368.0,6368.0,0.1149249,0.0933894,10.77568,6.9048285
AFSM,PCX,etf,20001.0,0.0075,0.65,2448.73,US,index,us_market,US,USD,0.75,65728888.0,65728888.0,1575331200.0,First Trust,Exchange Traded Fund,Small Blend,25095.0,25095.0,0.1230805,0.0830807,10.11059,11.933506
EEMV,BTS,etf,20001.0,0.0025,0.32,30723.26,US,index,us_market,US,USD,0.25,3786137344.0,3786137340.0,1318896000.0,iShares,Exchange Traded Fund,Diversified Emerging Mkts,504181.0,504181.0,0.1046666,0.038864803,13.35991,14.0524025
IHYF,NGM,etf,20001.0,0.0039,0.7,0.0,US,bond,us_market,US,USD,0.39,138202000.0,138202000.0,1606867200.0,Invesco,Exchange Traded Fund,High Yield Bond,24585.0,24585.0,0.0834428,0.041662596,8.21604,0.44248104
SMMV,BTS,etf,20001.0,0.002,0.43,5791.86,US,index,us_market,US,USD,0.2,294588320.0,294588320.0,1473206400.0,iShares,Exchange Traded Fund,Small Blend,15948.0,15948.0,0.0841224,0.0628268,6.41948,3.9577007
IQLT,PCX,etf,20001.0,0.003,0.2,72454.91,US,index,us_market,US,USD,0.3,13548297216.0,13548297200.0,1421107200.0,iShares,Exchange Traded Fund,Foreign Large Blend,2446860.0,2446860.0,0.1348747,0.085315,25.15968,20.54205
FCTR,BTS,etf,20001.0,0.0064999997,4.31,52349.77,US,index,us_market,US,USD,0.65,53485248.0,53485248.0,1532476800.0,First Trust,Exchange Traded Fund,Large Blend,3310.0,3310.0,0.0937324,0.044805497,8.50346,6.6970468
AFMC,PCX,etf,20001.0,0.0068,0.52,8359.19,US,index,us_market,US,USD,0.68,96364896.0,96364896.0,1575331200.0,First Trust,Exchange Traded Fund,Mid-Cap Blend,19658.0,19658.0,0.1504222,0.1119152,9.91468,10.67313
QVML,PCX,etf,20001.0,0.0011,0.17,497284.4,US,index,us_market,US,USD,0.11,1497942144.0,1497942140.0,1625011200.0,Invesco,Exchange Traded Fund,Large Blend,10416.0,10416.0,0.19531639,,17.63085,13.067091
